E(eV),Wavelength(nm),eps1x,eps2x,EELSx,nx,kappax,Rx
2.381,520.722385552289,-9.63373,0.789223,0.008447064749289628,0.12703081300337396,3.1064234784478915,0.9534688448335822
2.40821,514.8388221957388,-9.26127,0.776796,0.008993345187293427,0.12751486055092626,3.045903813264845,0.9516477244039017
2.43542,509.08672836718097,-8.89751,0.765995,0.009604660016039173,0.12828044435373498,2.985626546037463,0.9496296601383422
2.46263,503.4617461819274,-8.54177,0.756874,0.010292747127627186,0.12935841100963574,2.9254920267365176,0.9473829506383783
2.48984,497.9597082543456,-8.19339,0.749508,0.011072098292961291,0.13078610511849253,2.865396134095959,0.9448693301902469
2.51705,492.57662740112437,-7.85172,0.743999,0.0119608138511045,0.1326093543165367,2.8052281976431526,0.9420420576028352
2.54427,487.3067716869671,-7.51595,0.740487,0.012982384843940722,0.13488711596721656,2.744839619003987,0.9388413585817043
2.57148,482.15035699286005,-7.18563,0.739158,0.014165641972803969,0.13769009319914438,2.68413646481791,0.9351964838958953
2.59869,477.1019244311557,-6.85993,0.740254,0.015549393520941125,0.14111121234271165,2.6229453624215715,0.931013636750192
2.6259,472.1581172169541,-6.53809,0.744092,0.01718445616678845,0.145268494868037,2.5610921372729303,0.9261737620734002
2.65311,467.3157162726008,-6.21932,0.751096,0.01913908738062629,0.15031645570288416,2.4983824840994777,0.9205215520718509
2.68032,462.5716332378223,-5.90276,0.761826,0.021506562943665545,0.15645864466054618,2.4345922261210426,0.9138519002346941
2.70753,457.9229039013417,-5.58753,0.777042,0.024416635949023765,0.16396917361228702,2.3694758681816315,0.9058897838938305
2.73475,453.3650242252491,-5.27255,0.797788,0.028055317510996495,0.1732266916380061,2.302728270268954,0.896256196711858
2.76196,448.8986082347318,-4.95708,0.825483,0.032687134628199,0.18474605302572472,2.234101856251989,0.88444044430455
2.78917,444.51933729389026,-4.64011,0.86214,0.0387062777664594,0.19926607460518553,2.163288461691727,0.869719354122914
2.81638,440.2246855893025,-4.32106,0.910563,0.04669389938457961,0.21782784132336935,2.090097837053471,0.8510989580068512
2.84359,436.0122239844703,-4.00011,0.974578,0.05749491278969756,0.24187872064047738,2.014600534969321,0.8272565711882481
2.8708,431.87961543820535,-3.67916,1.059,0.07224871911483456,0.2732924158482596,1.9374851598296638,0.7966242258042407
2.89801,427.8246106811225,-3.36296,1.16878,0.09220746309982614,0.3140966375185961,1.8605420440561102,0.757850126081993
2.92522,423.8450441334327,-3.05974,1.30675,0.11804848206199137,0.36562378603597645,1.7870144803317296,0.7108750065247887
2.95244,419.9374077034588,-2.77942,1.47112,0.1487577126623492,0.4273855448388426,1.721068971289993,0.6580579100210204
2.97965,416.10256238148776,-2.53035,1.65447,0.18101536982215105,0.49642910687451,1.666370864529329,0.6041307744778764
